item_id,style_name,category,base_price,available_sizes,available_colors
SKU-001,Skinny,jean,168.0,"24,25,26,27,28,29,30,31,32,33,34","Indigo,Black,White,Stone Wash,Raw Denim,Vintage Blue"
SKU-002,Straight,jean,178.0,"24,25,26,27,28,29,30,31,32,33,34","Indigo,Black,White,Stone Wash,Raw Denim,Vintage Blue"
SKU-003,Bootcut,jean,178.0,"24,25,26,27,28,29,30,31,32,33,34","Indigo,Black,White,Stone Wash,Raw Denim,Vintage Blue"
SKU-004,Wide Leg,jean,198.0,"24,25,26,27,28,29,30,31,32,33,34","Indigo,Black,White,Stone Wash,Raw Denim,Vintage Blue"
SKU-005,Slim Straight,jean,178.0,"24,25,26,27,28,29,30,31,32,33,34","Indigo,Black,White,Stone Wash,Raw Denim,Vintage Blue"
SKU-006,High-Rise Skinny,jean,188.0,"24,25,26,27,28,29,30,31,32,33,34","Indigo,Black,White,Stone Wash,Raw Denim,Vintage Blue"
SKU-007,Mom Jean,jean,168.0,"24,25,26,27,28,29,30,31,32,33,34","Indigo,Black,White,Stone Wash,Raw Denim,Vintage Blue"
SKU-008,Boyfriend,jean,178.0,"24,25,26,27,28,29,30,31,32,33,34","Indigo,Black,White,Stone Wash,Raw Denim,Vintage Blue"
SKU-009,Cropped Straight,jean,168.0,"24,25,26,27,28,29,30,31,32,33,34","Indigo,Black,White,Stone Wash,Raw Denim,Vintage Blue"
SKU-010,Flare,jean,208.0,"24,25,26,27,28,29,30,31,32,33,34","Indigo,Black,White,Stone Wash,Raw Denim,Vintage Blue"
SKU-011,Denim Jacket,jacket,228.0,"XS,S,M,L,XL","Indigo,Black,Stone Wash,Raw Denim"
SKU-012,Chore Jacket,jacket,248.0,"XS,S,M,L,XL","Indigo,Black,Stone Wash,Raw Denim"
SKU-013,Trucker Jacket,jacket,218.0,"XS,S,M,L,XL","Indigo,Black,Stone Wash,Raw Denim"
SKU-014,Denim Shirt,top,138.0,"XS,S,M,L,XL","Indigo,Black,Stone Wash,Raw Denim"
SKU-015,Denim Overalls,bottom,208.0,"XS,S,M,L,XL","Indigo,Black,Stone Wash,Raw Denim"
SKU-016,Denim Skirt,bottom,148.0,"XS,S,M,L,XL","Indigo,Black,Stone Wash,Raw Denim"
