order_id,customer_id,item_id,style_name,size,color,purchase_date,relationship_tier,base_window_days,adjusted_window_days,window_closes_date,days_remaining,status,adjustment_reason
ORD-000001,CUST-00226,SKU-009,Cropped Straight,32,White,2025-03-06,regular,30,30,2025-04-05,-457,closed,Standard 30-day return window.
ORD-000002,CUST-00226,SKU-005,Slim Straight,24,Black,2025-06-05,regular,30,30,2025-07-05,-366,closed,Standard 30-day return window.
ORD-000003,CUST-00226,SKU-003,Bootcut,29,Raw Denim,2025-09-22,regular,30,30,2025-10-22,-257,closed,Standard 30-day return window.
ORD-000004,CUST-00226,SKU-012,Chore Jacket,S,Black,2025-08-16,regular,30,30,2025-09-15,-294,closed,Standard 30-day return window.
ORD-000005,CUST-00226,SKU-016,Denim Skirt,XL,Indigo,2026-03-25,regular,30,30,2026-04-24,-73,closed,Standard 30-day return window.
ORD-000006,CUST-00226,SKU-011,Denim Jacket,L,Indigo,2024-03-25,regular,30,30,2024-04-24,-803,closed,Standard 30-day return window.
ORD-000007,CUST-00226,SKU-012,Chore Jacket,XL,Raw Denim,2025-07-27,regular,30,30,2025-08-26,-314,closed,Standard 30-day return window.
ORD-000008,CUST-00226,SKU-006,High-Rise Skinny,32,Raw Denim,2024-05-08,regular,30,30,2024-06-07,-759,closed,Standard 30-day return window.
ORD-000009,CUST-00001,SKU-004,Wide Leg,27,Raw Denim,2026-03-30,regular,30,30,2026-04-29,-68,closed,Standard 30-day return window.
ORD-000010,CUST-00001,SKU-003,Bootcut,34,Black,2026-04-04,regular,30,30,2026-05-04,-63,closed,Standard 30-day return window.
ORD-000011,CUST-00001,SKU-008,Boyfriend,28,Stone Wash,2026-02-02,regular,30,30,2026-03-04,-124,closed,Standard 30-day return window.
ORD-000012,CUST-00001,SKU-003,Bootcut,33,Indigo,2025-11-26,regular,30,30,2025-12-26,-192,closed,Standard 30-day return window.
ORD-000013,CUST-00001,SKU-015,Denim Overalls,L,Raw Denim,2026-04-15,regular,30,30,2026-05-15,-52,closed,Standard 30-day return window.
ORD-000014,CUST-00001,SKU-012,Chore Jacket,XS,Black,2026-03-10,regular,30,30,2026-04-09,-88,closed,Standard 30-day return window.
ORD-000015,CUST-00227,SKU-012,Chore Jacket,S,Raw Denim,2026-06-12,new,30,30,2026-07-12,6,open,Standard 30-day return window.
ORD-000016,CUST-00228,SKU-009,Cropped Straight,27,Indigo,2025-09-24,regular,30,30,2025-10-24,-255,closed,Standard 30-day return window.
ORD-000017,CUST-00228,SKU-010,Flare,34,Indigo,2026-04-29,regular,30,30,2026-05-29,-38,closed,Standard 30-day return window.
ORD-000018,CUST-00228,SKU-004,Wide Leg,28,Raw Denim,2026-05-12,regular,30,30,2026-06-11,-25,closed,Standard 30-day return window.
ORD-000019,CUST-00228,SKU-005,Slim Straight,33,Raw Denim,2025-11-06,regular,30,30,2025-12-06,-212,closed,Standard 30-day return window.
ORD-000020,CUST-00229,SKU-005,Slim Straight,34,Vintage Blue,2026-05-21,regular,30,30,2026-06-20,-16,closed,Standard 30-day return window.
ORD-000021,CUST-00229,SKU-004,Wide Leg,26,Vintage Blue,2026-05-25,regular,30,30,2026-06-24,-12,closed,Standard 30-day return window.
ORD-000022,CUST-00229,SKU-003,Bootcut,25,Indigo,2026-05-19,regular,30,30,2026-06-18,-18,closed,Standard 30-day return window.
ORD-000023,CUST-00229,SKU-016,Denim Skirt,S,Stone Wash,2026-04-20,regular,30,30,2026-05-20,-47,closed,Standard 30-day return window.
ORD-000024,CUST-00229,SKU-013,Trucker Jacket,M,Indigo,2026-06-19,regular,30,30,2026-07-19,13,open,Standard 30-day return window.
ORD-000025,CUST-00229,SKU-005,Slim Straight,31,White,2026-06-12,regular,30,30,2026-07-12,6,open,Standard 30-day return window.
ORD-000026,CUST-00230,SKU-007,Mom Jean,32,White,2025-12-12,regular,30,30,2026-01-11,-176,closed,Standard 30-day return window.
ORD-000027,CUST-00230,SKU-009,Cropped Straight,28,Raw Denim,2026-05-04,regular,30,30,2026-06-03,-33,closed,Standard 30-day return window.
ORD-000028,CUST-00230,SKU-013,Trucker Jacket,S,Raw Denim,2025-07-15,regular,30,30,2025-08-14,-326,closed,Standard 30-day return window.
ORD-000029,CUST-00230,SKU-015,Denim Overalls,S,Black,2026-02-17,regular,30,30,2026-03-19,-109,closed,Standard 30-day return window.
ORD-000030,CUST-00230,SKU-004,Wide Leg,34,Black,2025-08-25,regular,30,30,2025-09-24,-285,closed,Standard 30-day return window.
ORD-000031,CUST-00230,SKU-006,High-Rise Skinny,34,Stone Wash,2026-02-06,regular,30,30,2026-03-08,-120,closed,Standard 30-day return window.
ORD-000032,CUST-00002,SKU-013,Trucker Jacket,XL,Indigo,2024-11-06,regular,30,30,2024-12-06,-577,closed,Standard 30-day return window.
ORD-000033,CUST-00002,SKU-007,Mom Jean,31,Raw Denim,2024-08-11,regular,30,30,2024-09-10,-664,closed,Standard 30-day return window.
ORD-000034,CUST-00002,SKU-006,High-Rise Skinny,33,Vintage Blue,2026-05-09,regular,30,30,2026-06-08,-28,closed,Standard 30-day return window.
ORD-000035,CUST-00002,SKU-003,Bootcut,27,Stone Wash,2026-01-16,regular,30,30,2026-02-15,-141,closed,Standard 30-day return window.
ORD-000036,CUST-00002,SKU-014,Denim Shirt,S,Indigo,2025-10-14,regular,30,30,2025-11-13,-235,closed,Standard 30-day return window.
ORD-000037,CUST-00002,SKU-004,Wide Leg,25,Stone Wash,2025-11-11,regular,30,30,2025-12-11,-207,closed,Standard 30-day return window.
ORD-000038,CUST-00002,SKU-002,Straight,32,Stone Wash,2025-08-03,regular,30,30,2025-09-02,-307,closed,Standard 30-day return window.
ORD-000039,CUST-00002,SKU-012,Chore Jacket,XL,Indigo,2025-06-10,regular,30,30,2025-07-10,-361,closed,Standard 30-day return window.
ORD-000040,CUST-00002,SKU-010,Flare,33,Raw Denim,2024-08-09,regular,30,30,2024-09-08,-666,closed,Standard 30-day return window.
ORD-000041,CUST-00231,SKU-013,Trucker Jacket,S,Stone Wash,2025-05-29,VIP,30,60,2025-07-28,-343,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000042,CUST-00231,SKU-012,Chore Jacket,XL,Stone Wash,2025-12-29,VIP,30,60,2026-02-27,-129,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000043,CUST-00231,SKU-006,High-Rise Skinny,29,Raw Denim,2026-05-05,VIP,30,60,2026-07-04,-2,discretionary,"VIP customer — standard 30-day window extended by 30 days to 60 days. Past the window, but VIP status allows manager discretion for up to 14 more days."
ORD-000044,CUST-00231,SKU-005,Slim Straight,34,Indigo,2026-04-30,VIP,30,60,2026-06-29,-7,discretionary,"VIP customer — standard 30-day window extended by 30 days to 60 days. Past the window, but VIP status allows manager discretion for up to 14 more days."
ORD-000045,CUST-00231,SKU-011,Denim Jacket,XL,Indigo,2025-12-15,VIP,30,60,2026-02-13,-143,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000046,CUST-00231,SKU-014,Denim Shirt,XS,Indigo,2025-11-26,VIP,30,60,2026-01-25,-162,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
